,neighbourhood_cleansed,room_type,room_type_number
0,District 1,Entire home/apt,298
1,District 1,Private room,41
2,District 1,Shared room,13
3,District 10,Entire home/apt,126
4,District 10,Private room,44
5,District 10,Shared room,6
6,District 11,Entire home/apt,158
7,District 11,Private room,24
8,District 11,Shared room,3
9,District 12,Entire home/apt,114
10,District 12,Private room,37
11,District 12,Shared room,3
12,District 13,Entire home/apt,156
13,District 13,Private room,22
14,District 14,Entire home/apt,822
15,District 14,Private room,56
16,District 14,Shared room,3
17,District 2,Entire home/apt,773
18,District 2,Private room,77
19,District 2,Shared room,10
20,District 3,Entire home/apt,51
21,District 3,Private room,16
22,District 4,Entire home/apt,80
23,District 4,Private room,31
24,District 5,Entire home/apt,19
25,District 5,Private room,11
26,District 6,Entire home/apt,172
27,District 6,Private room,16
28,District 6,Shared room,2
29,District 7,Entire home/apt,112
30,District 7,Private room,52
31,District 7,Shared room,8
32,District 8,Entire home/apt,23
33,District 8,Private room,28
34,District 9,Entire home/apt,135
35,District 9,Private room,21
