id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
61878,300211,11/26/10,f,2,3,t,District 2,32.8169,-96.82018,Entire condo,Entire home/apt,3,1,1,2,$85.0,30,1125,3,30,1125,1125,28.4,1125,t,0,0,11,212,55,3,0,12/29/10,12/30/23,4.7,4.79,4.62,4.85,4.92,4.75,4.77,f,1,1,0,0,0.34
776810,4096626,11/8/12,f,1,1,t,District 2,32.81462,-96.81586,Entire loft,Entire home/apt,2,1.5,1,1,$75.0,5,1125,5,5,1125,1125,5,1125,t,18,43,49,320,29,0,0,11/16/12,3/26/20,4.9,4.89,4.71,4.89,4.96,5,4.78,f,1,1,0,0,0.21
795703,4191322,11/19/12,t,2,4,t,District 14,32.80327,-96.80976,Entire condo,Entire home/apt,2,1,1,1,$243.0,30,365,30,30,365,365,30,365,t,30,60,90,270,70,0,0,2/1/13,9/25/22,4.84,4.91,4.97,4.91,4.97,4.91,4.75,f,1,1,0,0,0.52
826118,804559,7/11/11,f,2,3,f,District 12,32.98825,-96.78926,Private room in home,Private room,2,1,1,1,$62.0,14,180,14,14,180,180,14,180,t,0,0,19,31,27,5,1,7/4/15,1/31/24,4.85,4.81,4.74,4.85,4.85,4.81,4.78,f,2,0,2,0,0.26
826201,804559,7/11/11,f,2,3,f,District 12,32.98853,-96.78903,Private room in home,Private room,2,1,1,1,$54.0,30,90,30,30,90,90,30,90,t,23,53,83,173,32,3,0,5/14/13,1/15/24,4.75,4.81,4.66,4.81,4.81,4.78,4.78,f,2,0,2,0,0.24
860248,4505460,12/27/12,t,3,3,f,District 9,32.85509,-96.70625,Private room in home,Private room,2,1,1,1,$43.0,7,365,7,7,365,365,7,365,t,0,16,46,136,72,6,0,8/29/16,9/30/23,4.83,4.86,4.82,4.93,4.93,4.92,4.83,f,3,0,3,0,0.79
1154424,6063232,4/23/13,f,9,11,t,District 14,32.818684,-96.790154,Entire rental unit,Entire home/apt,2,1,0,1,$89.0,3,1125,3,3,1125,1125,3,1125,t,0,0,0,215,92,0,0,6/2/13,7/5/22,4.61,4.7,4.85,4.74,4.62,4.93,4.66,t,9,9,0,0,0.7
1277933,6904484,6/13/13,f,1,1,t,District 11,32.92449,-96.79062,Private room in home,Private room,4,1,2,2,$65.0,1,1125,1,1,1125,1125,1,1125,t,22,52,82,357,30,0,0,4/23/17,11/9/19,4.63,4.7,4.17,4.93,4.93,4.5,4.53,f,1,0,1,0,0.36
1479800,3809024,10/9/12,t,4,4,t,District 14,32.83103,-96.7638,Private room in home,Private room,2,1,1,1,$90.0,2,1125,1,2,1125,1125,2,1125,t,0,0,12,261,102,1,0,8/24/13,5/15/23,4.93,4.95,4.93,4.93,4.94,4.95,4.8,f,3,0,3,0,0.8
1507428,6063232,4/23/13,f,9,11,t,District 14,32.81961,-96.78996,Entire rental unit,Entire home/apt,1,1,0,1,$78.0,3,1125,3,3,1125,1125,3,1125,t,22,49,79,303,68,2,0,9/13/13,6/19/23,4.63,4.76,4.75,4.96,4.84,4.87,4.58,t,9,9,0,0,0.53
1826550,9557710,10/21/13,t,3,5,t,District 14,32.78112,-96.79165,Private room in townhouse,Private room,3,1,1,1,$83.0,1,28,1,1,1125,1125,1,1125,t,8,18,31,44,620,48,2,11/21/13,2/4/24,4.94,4.97,4.97,4.98,4.98,4.9,4.92,t,3,1,2,0,4.97
1832427,9557710,10/21/13,t,3,5,t,District 2,32.77805,-96.79362,Entire townhouse,Entire home/apt,8,3.5,3,3,$408.0,2,28,1,2,28,28,2,28,t,0,0,0,0,167,16,0,2/17/14,12/30/23,4.99,4.99,4.94,4.99,5,4.95,4.96,f,3,1,2,0,1.37
